iter	Passed	Remaining
268	12561	34135
269	12608	34090
270	12656	34045
271	12704	34004
272	12748	33949
273	12793	33897
274	12844	33861
275	12887	33807
276	12928	33745
277	12973	33693
278	13014	33633
279	13057	33575
280	13105	33532
281	13150	33482
282	13194	33428
283	13236	33371
284	13282	33321
285	13323	33262
286	13369	33214
287	13413	33159
288	13458	33109
289	13500	33052
290	13548	33010
291	13597	32968
292	13641	32916
293	13692	32879
294	13740	32837
295	13784	32783
296	13830	32737
297	13874	32683
298	13924	32646
299	13976	32611
300	14023	32565
301	14069	32519
302	14116	32473
303	14157	32413
304	14203	32364
305	14253	32326
306	14303	32286
307	14348	32237
308	14394	32190
309	14444	32151
310	14491	32104
311	14535	32053
312	14581	32004
313	14623	31949
314	14664	31890
315	14711	31844
316	14759	31800
317	14808	31759
318	14857	31716
319	14903	31670
320	14948	31620
321	14990	31563
322	15033	31509
323	15078	31459
324	15119	31401
325	15164	31352
326	15207	31299
327	15248	31239
328	15293	31191
329	15336	31137
330	15389	31104
331	15432	31050
332	15478	31003
333	15525	30958
334	15570	30909
335	15612	30853
336	15659	30807
337	15705	30759
338	15748	30706
339	15789	30650
340	15868	30667
341	15920	30630
342	15962	30574
343	16006	30523
344	16047	30467
345	16093	30420
346	16137	30368
347	16178	30312
348	16222	30259
349	16265	30206
350	16311	30160
351	16359	30115
352	16408	30073
353	16455	30028
354	16498	29976
355	16551	29941
356	16602	29903
357	16655	29868
358	16708	29833
359	16760	29797
360	16807	29750
361	16852	29702
362	16898	29653
363	16947	29611
364	16992	29561
365	17035	29510
366	17081	29461
367	17124	29409
368	17172	29364
369	17215	29313
370	17264	29270
371	17305	29213
372	17349	29163
373	17390	29107
374	17440	29067
375	17487	29022
376	17533	28975
377	17579	28927
378	17625	28879
379	17668	28828
380	17719	28789
381	17768	28746
382	17813	28697
383	17862	28654
384	17905	28601
385	17952	28557
386	17999	28510
387	18049	28469
388	18091	28416
389	18136	28367
390	18181	28319
391	18229	28274
392	18274	28225
393	18317	28173
394	18362	28124
395	18405	28072
396	18453	28029
397	18500	27982
398	18544	27933
399	18586	27880
400	18632	27832
401	18676	27782
402	18724	27737
403	18769	27689
404	18814	27640
405	18858	27590
406	18904	27544
407	18949	27495
408	18998	27452
409	19045	27406
410	19093	27362
411	19138	27313
412	19179	27260
413	19257	27257
414	19316	27229
415	19359	27178
416	19403	27127
417	19445	27075
418	19491	27027
419	19535	26977
420	19576	26923
421	19623	26877
422	19670	26832
423	19714	26782
424	19759	26733
425	19804	26685
426	19850	26638
427	19894	26588
428	19942	26543
429	19991	26500
430	20037	26453
431	20080	26401
432	20124	26352
433	20168	26302
434	20211	26251
435	20255	26202
436	20300	26153
437	20345	26105
438	20386	26051
439	20432	26005
440	20476	25955
441	20516	25900
442	20559	25849
443	20606	25804
444	20653	25759
445	20697	25710
446	20742	25661
447	20787	25613
448	20832	25564
449	20876	25515
450	20920	25466
451	20968	25421
452	21014	25374
453	21060	25327
454	21105	25279
455	21150	25231
456	21196	25185
457	21243	25139
458	21290	25094
459	21337	25048
460	21383	25001
461	21429	24954
462	21473	24905
463	21522	24862
464	21569	24816
465	21611	24765
466	21660	24721
467	21700	24667
468	21747	24622
469	21793	24575
470	21837	24526
471	21877	24472
472	21922	24425
473	21966	24376
474	22012	24330
475	22062	24287
476	22105	24236
477	22151	24190
478	22195	24141
479	22240	24093
480	22286	24047
481	22331	23999
482	22379	23954
483	22425	23908
484	22471	23860
485	22519	23816
486	22564	23769
487	22609	23721
488	22657	23676
489	22698	23624
490	22744	23577
491	22787	23528
492	22832	23481
493	22879	23434
494	22925	23388
495	22971	23342
496	23020	23297
497	23065	23250
498	23117	23210
499	23163	23163
500	23212	23119
501	23257	23071
502	23307	23029
503	23354	22983
504	23400	22936
505	23443	22887
506	23488	22839
507	23527	22786
508	23573	22740
509	23616	22690
510	23664	22645
511	23708	22596
512	23750	22546
513	23794	22498
514	23843	22454
515	23883	22401
516	23927	22353
517	23969	22303
518	24015	22256
519	24056	22205
520	24102	22159
521	24147	22112
522	24197	22069
523	24242	22021
524	24291	21977
525	24338	21932
526	24384	21885
527	24429	21838
528	24477	21793
529	24524	21748
530	24565	21697
531	24609	21649
532	24653	21601
533	24698	21553
534	24745	21507
535	24790	21460
536	24835	21413
537	24882	21367
538	24928	21320
539	24976	21276
540	25022	21229
541	25070	21185
542	25116	21138
543	25157	21088
544	25210	21047
545	25256	21000
546	25301	20953
547	25347	20906
548	25396	20863
549	25441	20815
550	25487	20769
551	25527	20717
552	25570	20668
553	25613	20620
554	25658	20572
555	25700	20523
556	25745	20475
557	25793	20431
558	25837	20383
559	25886	20339
560	25933	20293
561	25976	20245
562	26025	20200
563	26068	20152
564	26156	20137
565	26204	20093
566	26256	20051
567	26302	20004
568	26350	19959
569	26400	19916
570	26443	19867
571	26490	19821
572	26540	19777
573	26588	19733
574	26639	19689
575	26683	19641
576	26727	19593
577	26771	19545
578	26818	19499
579	26864	19453
580	26918	19412
581	26967	19368
582	27017	19324
583	27064	19278
584	27108	19231
585	27153	19183
586	27200	19137
587	27246	19091
588	27289	19042
589	27334	18995
590	27379	18948
591	27422	18898
592	27463	18849
593	27507	18801
594	27551	18753
595	27600	18709
596	27649	18664
597	27697	18619
598	27743	18572
599	27790	18526
600	27836	18480
601	27882	18433
602	27923	18384
603	27971	18339
604	28016	18291
605	28063	18245
606	28113	18201
607	28157	18154
608	28208	18110
609	28253	18063
610	28293	18013
611	28340	17967
612	28385	17920
613	28427	17871
614	28472	17824
615	28515	17776
616	28565	17732
617	28614	17687
618	28655	17637
619	28701	17591
620	28747	17544
621	28790	17496
622	28836	17450
623	28879	17401
624	28925	17355
625	28971	17308
626	29016	17261
627	29063	17216
628	29107	17168
629	29154	17122
630	29199	17075
631	29251	17032
632	29300	16987
633	29352	16944
634	29405	16902
635	29457	16859
636	29501	16811
637	29552	16768
638	29599	16722
639	29642	16673
640	29683	16624
641	29733	16580
642	29779	16533
643	29826	16487
644	29870	16440
645	29913	16392
646	29956	16344
647	30006	16299
648	30055	16254
649	30106	16211
650	30150	16163
651	30198	16118
652	30251	16075
653	30303	16032
654	30354	15988
655	30401	15942
656	30446	15895
657	30496	15850
658	30547	15806
659	30594	15760
660	30642	15715
661	30693	15671
662	30743	15626
663	30790	15580
664	30837	15534
665	30880	15486
666	30930	15442
667	30980	15397
668	31027	15351
669	31075	15305
670	31122	15259
671	31185	15221
672	31235	15176
673	31311	15144
674	31373	15105
675	31442	15070
676	31512	15034
677	31569	14993
678	31621	14949
679	31669	14903
680	31718	14857
681	31770	14813
682	31823	14770
683	31878	14727
684	31930	14683
685	31979	14637
686	32029	14592
687	32079	14547
688	32128	14502
689	32176	14456
690	32269	14430
691	32324	14387
692	32369	14339
693	32415	14292
694	32462	14246
695	32509	14199
696	32560	14154
697	32613	14110
698	32663	14065
699	32727	14026
700	32781	13982
701	32829	13936
702	32876	13889
703	32918	13840
704	32969	13795
705	33017	13749
706	33070	13705
707	33123	13661
708	33171	13614
709	33220	13568
710	33270	13523
711	33315	13476
712	33362	13429
713	33408	13382
714	33461	13337
715	33512	13292
716	33561	13246
717	33610	13200
718	33655	13153
719	33699	13105
720	33745	13058
721	33793	13011
722	33841	12965
723	33887	12918
724	33937	12872
725	33980	12824
726	34027	12777
727	34076	12731
728	34126	12686
729	34174	12639
730	34224	12594
731	34271	12547
732	34316	12500
733	34367	12454
734	34418	12409
735	34471	12364
736	34521	12319
737	34565	12271
738	34615	12225
739	34658	12177
740	34717	12134
741	34759	12086
742	34806	12039
743	34853	11992
744	34897	11944
745	34942	11897
746	34986	11849
747	35031	11802
748	35074	11753
749	35122	11707
750	35170	11661
751	35212	11612
752	35257	11565
753	35305	11518
754	35350	11471
755	35395	11424
756	35440	11376
757	35490	11330
758	35529	11281
759	35576	11234
760	35620	11186
761	35663	11139
762	35707	11091
763	35752	11044
764	35800	10997
765	35844	10949
766	35894	10903
767	35939	10856
768	35984	10809
769	36024	10760
770	36070	10713
771	36116	10666
772	36164	10620
773	36205	10571
774	36252	10524
775	36293	10476
776	36341	10430
777	36388	10383
778	36437	10337
779	36481	10289
780	36529	10243
781	36571	10194
782	36612	10146
783	36657	10099
784	36701	10051
785	36747	10005
786	36796	9958
787	36840	9911
788	36892	9865
789	36938	9818
790	36986	9772
791	37035	9726
792	37080	9679
793	37128	9632
794	37175	9586
795	37223	9539
796	37267	9492
797	37312	9444
798	37359	9398
799	37402	9350
800	37450	9304
801	37499	9257
802	37546	9211
803	37593	9164
804	37639	9117
805	37690	9071
806	37738	9025
807	37782	8977
808	37826	8930
809	37871	8883
810	37915	8835
811	37961	8789
812	38009	8742
813	38050	8694
814	38094	8647
815	38141	8600
816	38190	8554
817	38236	8507
818	38283	8460
819	38329	8413
820	38373	8366
821	38423	8320
822	38469	8273
823	38517	8227
824	38565	8180
825	38610	8133
826	38654	8086
827	38699	8039
828	38745	7992
829	38791	7945
830	38832	7897
831	38876	7850
832	38921	7803
833	38968	7756
834	39015	7709
835	39083	7667
836	39154	7625
837	39205	7579
838	39253	7532
839	39308	7487
840	39362	7441
841	39417	7396
842	39462	7349
843	39507	7302
844	39555	7255
845	39605	7209
846	39657	7163
847	39704	7116
848	39751	7070
849	39801	7023
850	39849	6977
851	39902	6931
852	39948	6884
853	40010	6840
854	40061	6794
855	40107	6747
856	40156	6700
857	40206	6654
858	40253	6607
859	40299	6560
860	40345	6513
861	40393	6466
862	40440	6419
863	40494	6374
864	40544	6327
865	40592	6281
866	40639	6234
867	40684	6187
868	40737	6141
869	40787	6094
870	40863	6052
871	40929	6007
872	40986	5962
873	41038	5916
874	41085	5869
875	41135	5822
876	41182	5775
877	41229	5728
878	41281	5682
879	41334	5636
880	41389	5590
881	41440	5544
882	41510	5500
883	41573	5455
884	41624	5408
885	41673	5362
886	41722	5315
887	41772	5268
888	41819	5221
889	41868	5174
890	41925	5128
891	41978	5082
892	42022	5035
893	42070	4988
894	42116	4941
895	42160	4893
896	42207	4846
897	42253	4799
898	42301	4752
899	42348	4705
900	42396	4658
901	42443	4611
902	42492	4564
903	42547	4518
904	42599	4471
905	42649	4424
906	42692	4377
907	42740	4330
908	42785	4283
909	42829	4235
910	42876	4188
911	42935	4142
912	42985	4096
913	43034	4049
914	43083	4002
915	43132	3955
916	43181	3908
917	43232	3861
918	43280	3814
919	43328	3767
920	43373	3720
921	43416	3673
922	43463	3625
923	43511	3578
924	43560	3531
925	43605	3484
926	43649	3437
927	43695	3390
928	43741	3343
929	43783	3295
930	43832	3248
931	43880	3201
932	43928	3154
933	43972	3107
934	44017	3060
935	44069	3013
936	44113	2965
937	44159	2918
938	44202	2871
939	44246	2824
940	44292	2777
941	44336	2729
942	44377	2682
943	44417	2634
944	44462	2587
945	44507	2540
946	44548	2493
947	44589	2445
948	44633	2398
949	44684	2351
950	44729	2304
951	44775	2257
952	44824	2210
953	44871	2163
954	44919	2116
955	44965	2069
956	45011	2022
957	45053	1975
958	45098	1928
959	45143	1880
960	45186	1833
961	45235	1786
962	45279	1739
963	45324	1692
964	45367	1645
965	45413	1598
966	45457	1551
967	45503	1504
968	45550	1457
969	45601	1410
970	45648	1363
971	45694	1316
972	45739	1269
973	45784	1222
974	45832	1175
975	45908	1128
976	45970	1082
977	46017	1035
978	46066	988
979	46110	941
980	46160	894
981	46203	846
982	46250	799
983	46294	752
984	46343	705
985	46388	658
986	46430	611
987	46475	564
988	46522	517
989	46570	470
990	46615	423
991	46663	376
992	46711	329
993	46757	282
994	46806	235
995	46852	188
996	46898	141
997	46940	94
998	46985	47
999	47032	0
