iter	RMSE
417	134956.7168
418	134956.7106
419	134956.7028
420	134956.6966
421	134956.6935
422	134956.6787
423	134956.6635
424	134956.659
425	134956.6546
426	134956.6493
427	134956.6468
428	134956.6364
429	134956.6117
430	134956.6101
431	134956.6086
432	134956.6063
433	134956.5829
434	134956.579
435	134956.5692
436	134956.5575
437	134956.5481
438	134956.539
439	134956.5306
440	134956.5129
441	134956.5076
442	134956.5009
443	134956.4912
444	134956.4894
445	134956.4855
446	134956.4705
447	134956.4632
448	134956.4615
449	134956.4529
450	134956.4505
451	134956.4391
452	134956.4347
453	134956.4258
454	134956.425
455	134956.4218
456	134956.4169
457	134956.4112
458	134956.4029
459	134956.3962
460	134956.3903
461	134956.3801
462	134956.3788
463	134956.3739
464	134956.3684
465	134956.3623
466	134956.3551
467	134956.345
468	134956.3423
469	134956.3407
470	134956.3326
471	134956.3317
472	134956.3304
473	134956.3246
474	134956.3214
475	134956.3031
476	134956.2979
477	134956.2917
478	134956.2866
479	134956.2669
480	134956.2617
481	134956.2458
482	134956.2324
483	134956.2311
484	134956.2291
485	134956.2281
486	134956.2196
487	134956.2161
488	134956.2142
489	134956.213
490	134956.2097
491	134956.2014
492	134956.2011
493	134956.1932
494	134956.1928
495	134956.1915
496	134956.1893
497	134956.1863
498	134956.1779
499	134956.1736
500	134956.1646
501	134956.1592
502	134956.1528
503	134956.152
504	134956.1509
505	134956.1504
506	134956.146
507	134956.1388
508	134956.1362
509	134956.1328
510	134956.129
511	134956.1132
512	134956.1114
513	134956.1102
514	134956.1099
515	134956.1095
516	134956.1081
517	134956.0994
518	134956.0968
519	134956.0911
520	134956.0894
521	134956.0889
522	134956.0883
523	134956.0879
524	134956.087
525	134956.0855
526	134956.0848
527	134956.0822
528	134956.0817
529	134956.0768
530	134956.0739
531	134956.0733
532	134956.0711
533	134956.0696
534	134956.069
535	134956.0682
536	134956.0665
537	134956.063
538	134956.0627
539	134956.0618
540	134956.059
541	134956.0543
542	134956.0429
543	134956.0389
544	134956.0368
545	134956.0362
546	134956.0327
547	134956.029
548	134956.0259
549	134956.0257
550	134956.0187
551	134956.0182
552	134956.0125
553	134956.0105
554	134956.0098
555	134956.0046
556	134956.0031
557	134956.0024
558	134955.9994
559	134955.9981
560	134955.9976
561	134955.9975
562	134955.9957
563	134955.994
564	134955.9935
565	134955.9934
566	134955.9909
567	134955.9907
568	134955.989
569	134955.9866
570	134955.9823
571	134955.9809
572	134955.977
573	134955.9766
574	134955.9758
575	134955.9752
576	134955.9747
577	134955.9736
578	134955.9727
579	134955.9717
580	134955.9695
581	134955.9692
582	134955.9663
583	134955.9648
584	134955.9614
585	134955.9578
586	134955.9553
587	134955.9519
588	134955.9504
589	134955.9492
590	134955.9475
591	134955.9466
592	134955.9426
593	134955.942
594	134955.9415
595	134955.9376
596	134955.934
597	134955.9334
598	134955.9284
599	134955.9254
600	134955.9141
601	134955.9109
602	134955.9105
603	134955.909
604	134955.9084
605	134955.9047
606	134955.9041
607	134955.9036
608	134955.8957
609	134955.8955
610	134955.8955
611	134955.8952
612	134955.8928
613	134955.8881
614	134955.8837
615	134955.8779
616	134955.876
617	134955.8713
618	134955.8708
619	134955.8705
620	134955.8644
621	134955.8637
622	134955.8619
623	134955.8615
624	134955.8586
625	134955.8554
626	134955.8544
627	134955.8542
628	134955.8534
629	134955.8532
630	134955.8525
631	134955.8502
632	134955.85
633	134955.8494
634	134955.8485
635	134955.8477
636	134955.8474
637	134955.847
638	134955.8465
639	134955.8464
640	134955.8454
641	134955.8442
642	134955.8436
643	134955.8408
644	134955.8381
645	134955.8375
646	134955.8366
647	134955.8365
648	134955.8329
649	134955.8326
650	134955.8322
651	134955.8309
652	134955.8307
653	134955.8261
654	134955.8252
655	134955.8242
656	134955.8238
657	134955.8234
658	134955.8217
659	134955.8213
660	134955.8209
661	134955.82
662	134955.8197
663	134955.8164
664	134955.816
665	134955.815
666	134955.8136
667	134955.8133
668	134955.8131
669	134955.8125
670	134955.8124
671	134955.8122
672	134955.8117
673	134955.8116
674	134955.8084
675	134955.8077
676	134955.8067
677	134955.8064
678	134955.8063
679	134955.806
680	134955.8058
681	134955.8056
682	134955.8046
683	134955.803
684	134955.8008
685	134955.8004
686	134955.8003
687	134955.7998
688	134955.7975
689	134955.7946
690	134955.7945
691	134955.7942
692	134955.7926
693	134955.7924
694	134955.7923
695	134955.7908
696	134955.79
697	134955.7883
698	134955.7875
699	134955.7856
700	134955.7848
701	134955.7847
702	134955.7796
703	134955.7786
704	134955.7781
705	134955.7779
706	134955.7777
707	134955.7772
708	134955.7771
709	134955.7762
710	134955.7738
711	134955.7736
712	134955.7735
713	134955.7729
714	134955.7723
715	134955.771
716	134955.7687
717	134955.7665
718	134955.7658
719	134955.7657
720	134955.7656
721	134955.7653
722	134955.7651
723	134955.7629
724	134955.7621
725	134955.7617
726	134955.7616
727	134955.7614
728	134955.7612
729	134955.7595
730	134955.7593
731	134955.7591
732	134955.7555
733	134955.755
734	134955.7549
735	134955.7545
736	134955.7535
737	134955.7534
738	134955.7533
739	134955.7532
740	134955.7523
741	134955.7522
742	134955.7518
743	134955.7493
744	134955.7491
745	134955.7475
746	134955.7474
747	134955.7472
748	134955.7467
749	134955.7456
750	134955.7402
751	134955.7401
752	134955.7396
753	134955.7387
754	134955.7385
755	134955.7378
756	134955.7377
757	134955.7373
758	134955.7365
759	134955.7358
760	134955.7358
761	134955.7355
762	134955.7354
763	134955.7354
764	134955.7343
765	134955.7342
766	134955.7333
767	134955.7332
768	134955.7326
769	134955.7325
770	134955.7306
771	134955.7304
772	134955.7293
773	134955.7291
774	134955.7275
775	134955.7274
776	134955.7265
777	134955.7264
778	134955.7248
779	134955.7233
780	134955.7232
781	134955.7231
782	134955.7229
783	134955.7228
784	134955.7211
785	134955.7211
786	134955.7201
787	134955.72
788	134955.7199
789	134955.7198
790	134955.7195
791	134955.7195
792	134955.7193
793	134955.7177
794	134955.7176
795	134955.7175
796	134955.7175
797	134955.7148
798	134955.7147
799	134955.7144
800	134955.7143
801	134955.7138
802	134955.7136
803	134955.7135
804	134955.7127
805	134955.7125
806	134955.7123
807	134955.7122
808	134955.712
809	134955.7096
810	134955.7095
811	134955.709
812	134955.7075
813	134955.7072
814	134955.7072
815	134955.707
816	134955.7066
817	134955.7065
818	134955.7043
819	134955.7041
820	134955.7037
821	134955.7034
822	134955.7011
823	134955.7007
824	134955.7004
825	134955.7003
826	134955.7003
827	134955.7001
828	134955.6999
829	134955.6998
830	134955.6998
831	134955.6997
832	134955.6995
833	134955.699
834	134955.6969
835	134955.696
836	134955.6957
837	134955.6942
838	134955.6939
839	134955.6938
840	134955.6934
841	134955.6927
842	134955.6926
843	134955.6924
844	134955.6921
845	134955.6919
846	134955.6916
847	134955.6913
848	134955.6898
849	134955.6875
850	134955.6874
851	134955.6868
852	134955.6866
853	134955.6848
854	134955.6845
855	134955.6834
856	134955.6834
857	134955.6833
858	134955.6831
859	134955.6824
860	134955.6824
861	134955.6823
862	134955.6822
863	134955.6821
864	134955.6816
865	134955.6815
866	134955.6815
867	134955.6813
868	134955.6787
869	134955.6786
870	134955.6786
871	134955.6784
872	134955.6761
873	134955.676
874	134955.6759
875	134955.6758
876	134955.6757
877	134955.6755
878	134955.6755
879	134955.6751
880	134955.6748
881	134955.6747
882	134955.6741
883	134955.6739
884	134955.673
885	134955.6729
886	134955.6726
887	134955.6725
888	134955.6723
889	134955.6719
890	134955.6717
891	134955.6717
892	134955.6714
893	134955.6713
894	134955.6711
895	134955.6708
896	134955.6697
897	134955.6695
898	134955.6694
899	134955.6694
900	134955.6693
901	134955.6692
902	134955.6691
903	134955.6691
904	134955.6689
905	134955.6688
906	134955.6685
907	134955.6676
908	134955.6672
909	134955.6668
910	134955.666
911	134955.6659
912	134955.6658
913	134955.6658
914	134955.6656
915	134955.6656
916	134955.6654
917	134955.6654
918	134955.6653
919	134955.6649
920	134955.6645
921	134955.6645
922	134955.6643
923	134955.6642
924	134955.6642
925	134955.6642
926	134955.6642
927	134955.6623
928	134955.6622
929	134955.6616
930	134955.6612
931	134955.6611
932	134955.6609
933	134955.6606
934	134955.6606
935	134955.6593
936	134955.6592
937	134955.6586
938	134955.6584
939	134955.6584
940	134955.6583
941	134955.658
942	134955.6579
943	134955.6579
944	134955.6569
945	134955.6568
946	134955.6566
947	134955.6566
948	134955.6565
949	134955.6564
950	134955.6563
951	134955.6563
952	134955.6562
953	134955.6561
954	134955.656
955	134955.6559
956	134955.6558
957	134955.6555
958	134955.6552
959	134955.6548
960	134955.6544
961	134955.6543
962	134955.6543
963	134955.6539
964	134955.6538
965	134955.6537
966	134955.6531
967	134955.6531
968	134955.6529
969	134955.6529
970	134955.6527
971	134955.6527
972	134955.6527
973	134955.6526
974	134955.6524
975	134955.6523
976	134955.6508
977	134955.6505
978	134955.6505
979	134955.6504
980	134955.6503
981	134955.6502
982	134955.6491
983	134955.649
984	134955.6489
985	134955.6489
986	134955.6488
987	134955.6488
988	134955.6487
989	134955.6487
990	134955.6487
991	134955.6479
992	134955.6476
993	134955.6475
994	134955.6474
995	134955.6473
996	134955.6471
997	134955.6471
998	134955.6471
999	134955.6456
